,Data,Recuperação
0,2024-04-09,80.8
1,2024-04-10,77.5
2,2024-04-11,77.6
3,2024-04-12,80.8
4,2024-04-13,80.4
5,2024-04-14,77.6
6,2024-04-15,80.8
7,2024-04-16,79.2
8,2024-04-17,82.9
9,2024-04-18,77.7
10,2024-04-19,74.2
11,2024-04-20,79.3
12,2024-04-21,83.9
13,2024-04-22,82.2
14,2024-04-23,84.2
15,2024-04-24,80.9
16,2024-04-25,82.5
17,2024-04-26,78.6
18,2024-04-27,81.7
19,2024-04-28,79.9
20,2024-04-29,74.2
21,2024-04-30,76.9
24,2024-05-03,79.8
25,2024-05-04,83.1
26,2024-05-05,80.4
27,2024-05-06,77.6
28,2024-05-07,78.8
29,2024-05-08,75.2
30,2024-05-09,73.0
31,2024-05-10,66.7
32,2024-05-11,77.7
33,2024-05-12,77.2
34,2024-05-13,85.0
35,2024-05-14,82.4
36,2024-05-15,74.4
37,2024-05-16,78.9
38,2024-05-17,74.8
39,2024-05-18,77.9
40,2024-05-19,79.2
41,2024-05-20,80.5
43,2024-05-22,83.8
